FullGeoName,Year,Travel status,Location,Reported cases,Legend,Notes
"AL, Cullman",2025,All,01043,1 to 4,1 to 4,AL
"AL, Madison",2025,All,01089,1 to 4,1 to 4,AL
"AL, Shelby",2025,All,01117,1 to 4,1 to 4,AL
"AL, Tuscaloosa",2025,All,01125,1 to 4,1 to 4,AL
"AK, Anchorage Muny",2025,All,02020,1 to 4,1 to 4,AK
"AK, Fairbanks North Star Borough",2025,All,02090,1 to 4,1 to 4,AK
"AZ, Cochise",2025,All,04003,1 to 4,1 to 4,AZ
"AZ, Mohave",2025,All,04015,1 to 4,1 to 4,AZ
"AZ, Pinal",2025,All,04021,1 to 4,1 to 4,AZ
"AZ, Santa Cruz",2025,All,04023,1 to 4,1 to 4,AZ
"AZ, Yuma",2025,All,04027,1 to 4,1 to 4,AZ
"AR, Cleburne",2025,All,05023,1 to 4,1 to 4,AR
"AR, Union",2025,All,05139,1 to 4,1 to 4,AR
"AR, Washington",2025,All,05143,1 to 4,1 to 4,AR
"CA, Colusa",2025,All,06011,1 to 4,1 to 4,CA
"CA, Fresno",2025,All,06019,1 to 4,1 to 4,CA
"CA, Imperial",2025,All,06025,1 to 4,1 to 4,CA
"CA, Kern",2025,All,06029,1 to 4,1 to 4,CA
"CA, Lake",2025,All,06033,1 to 4,1 to 4,CA
"CA, Madera",2025,All,06039,1 to 4,1 to 4,CA
"CA, Mendocino",2025,All,06045,1 to 4,1 to 4,CA
"CA, Merced",2025,All,06047,1 to 4,1 to 4,CA
"CA, Monterey",2025,All,06053,1 to 4,1 to 4,CA
"CA, Napa",2025,All,06055,1 to 4,1 to 4,CA
"CA, Placer",2025,All,06061,1 to 4,1 to 4,CA
"CA, San Luis Obispo",2025,All,06079,1 to 4,1 to 4,CA
"CA, Santa Barbara",2025,All,06083,1 to 4,1 to 4,CA
"CA, Santa Cruz",2025,All,06087,1 to 4,1 to 4,CA
"CA, Shasta",2025,All,06089,1 to 4,1 to 4,CA
"CA, Solano",2025,All,06095,1 to 4,1 to 4,CA
"CA, Stanislaus",2025,All,06099,1 to 4,1 to 4,CA
"CA, Tulare",2025,All,06107,1 to 4,1 to 4,CA
"CA, Ventura",2025,All,06111,1 to 4,1 to 4,CA
"CA, Yolo",2025,All,06113,1 to 4,1 to 4,CA
"CO, Adams",2025,All,08001,1 to 4,1 to 4,CO
"CO, Arapahoe",2025,All,08005,1 to 4,1 to 4,CO
"CO, Boulder",2025,All,08013,1 to 4,1 to 4,CO
"CO, Broomfield",2025,All,08014,1 to 4,1 to 4,CO
"CO, Douglas",2025,All,08035,1 to 4,1 to 4,CO
"CO, El Paso",2025,All,08041,1 to 4,1 to 4,CO
"CO, Fremont",2025,All,08043,1 to 4,1 to 4,CO
"CO, Jefferson",2025,All,08059,1 to 4,1 to 4,CO
"CO, Larimer",2025,All,08069,1 to 4,1 to 4,CO
"CO, Teller",2025,All,08119,1 to 4,1 to 4,CO
"CO, Weld",2025,All,08123,1 to 4,1 to 4,CO
"CT, Naugatuck Valley",2025,All,09140,1 to 4,1 to 4,CT
"CT, South Central Connecticut",2025,All,09170,1 to 4,1 to 4,CT
"CT, Western Connecticut",2025,All,09190,1 to 4,1 to 4,CT
"DE, New Castle",2025,All,10003,1 to 4,1 to 4,"DE, New Castle County"
"DE, Sussex",2025,All,10005,1 to 4,1 to 4,"DE, Sussex County"
"FL, Bay",2025,All,12005,1 to 4,1 to 4,"FL, Bay County"
"FL, Charlotte",2025,All,12015,1 to 4,1 to 4,"FL, Charlotte County"
"FL, Clay",2025,All,12019,1 to 4,1 to 4,"FL, Clay County"
"FL, Escambia",2025,All,12033,1 to 4,1 to 4,"FL, Escambia County"
"FL, Hendry",2025,All,12051,1 to 4,1 to 4,"FL, Hendry County"
"FL, Hernando",2025,All,12053,1 to 4,1 to 4,"FL, Hernando County"
"FL, Indian River",2025,All,12061,1 to 4,1 to 4,"FL, Indian River County"
"FL, Lake",2025,All,12069,1 to 4,1 to 4,"FL, Lake County"
"FL, Manatee",2025,All,12081,1 to 4,1 to 4,"FL, Manatee County"
"FL, Marion",2025,All,12083,1 to 4,1 to 4,"FL, Marion County"
"FL, Okeechobee",2025,All,12093,1 to 4,1 to 4,"FL, Okeechobee County"
"FL, Osceola",2025,All,12097,1 to 4,1 to 4,"FL, Osceola County"
"FL, Pasco",2025,All,12101,1 to 4,1 to 4,"FL, Pasco County"
"FL, St Johns",2025,All,12109,1 to 4,1 to 4,"FL, St. Johns County"
"FL, St Lucie",2025,All,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"FL, Sarasota",2025,All,12115,1 to 4,1 to 4,"FL, Sarasota County"
"FL, Seminole",2025,All,12117,1 to 4,1 to 4,"FL, Seminole County"
"FL, Volusia",2025,All,12127,1 to 4,1 to 4,"FL, Volusia County"
"GA, Chatham",2025,All,13051,1 to 4,1 to 4,"GA, Chatham County"
"GA, Cherokee",2025,All,13057,1 to 4,1 to 4,"GA, Cherokee County"
"GA, De Kalb",2025,All,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Forsyth",2025,All,13117,1 to 4,1 to 4,"GA, Forsyth County"
"GA, Glynn",2025,All,13127,1 to 4,1 to 4,"GA, Glynn County"
"GA, Gwinnett",2025,All,13135,1 to 4,1 to 4,"GA, Gwinnett County"
"GA, Whitfield",2025,All,13313,1 to 4,1 to 4,"GA, Whitfield County"
"HI, Maui",2025,All,15009,1 to 4,1 to 4,"HI, Maui County"
"ID, Ada",2025,All,16001,1 to 4,1 to 4,"ID, Ada County"
"ID, Canyon",2025,All,16027,1 to 4,1 to 4,"ID, Canyon County"
"IL, Champaign",2025,All,17019,1 to 4,1 to 4,"IL, Champaign County"
"IL, Kane",2025,All,17089,1 to 4,1 to 4,"IL, Kane County"
"IL, Lake",2025,All,17097,1 to 4,1 to 4,"IL, Lake County"
"IL, Will",2025,All,17197,1 to 4,1 to 4,"IL, Will County"
"IL, Winnebago",2025,All,17201,1 to 4,1 to 4,"IL, Winnebago County"
"IN, Hamilton",2025,All,18057,1 to 4,1 to 4,"IN, Hamilton County"
"IN, Marion",2025,All,18097,1 to 4,1 to 4,"IN, Marion County"
"IA, Boone",2025,All,19015,1 to 4,1 to 4,"IA, Boone County"
"IA, Warren",2025,All,19181,1 to 4,1 to 4,"IA, Warren County"
"KS, Douglas",2025,All,20045,1 to 4,1 to 4,"KS, Douglas County"
"KS, Finney",2025,All,20055,1 to 4,1 to 4,"KS, Finney County"
"KS, Hamilton",2025,All,20075,1 to 4,1 to 4,"KS, Hamilton County"
"KS, Johnson",2025,All,20091,1 to 4,1 to 4,"KS, Johnson County"
"KY, Boyd",2025,All,21019,1 to 4,1 to 4,"KY, Boyd County"
"KY, Clark",2025,All,21049,1 to 4,1 to 4,"KY, Clark County"
"LA, Caddo Parish",2025,All,22017,1 to 4,1 to 4,"LA, Caddo Parish"
"LA, Jefferson Parish",2025,All,22051,1 to 4,1 to 4,"LA, Jefferson Parish"
