FullGeoName,Year,Travel status,Location,Reported cases,Legend,Notes
"AZ, Maricopa",2026,All,04013,7,5 to 49,"AZ, NA"
"AZ, Pima",2026,All,04019,1 to 4,1 to 4,"AZ, NA"
"CA, Los Angeles",2026,All,06037,8,5 to 49,"CA, NA"
"CA, Orange",2026,All,06059,1 to 4,1 to 4,"CA, NA"
"CA, San Francisco",2026,All,06075,1 to 4,1 to 4,"CA, NA"
"CA, San Mateo",2026,All,06081,1 to 4,1 to 4,"CA, NA"
"DC, Washington",2026,All,11001,1 to 4,1 to 4,"DC, District of Columbia"
"FL, Broward",2026,All,12011,17,5 to 49,"FL, Broward County"
"FL, Hillsborough",2026,All,12057,141,50 to 249,"FL, Hillsborough County"
"FL, Lee",2026,All,12071,8,5 to 49,"FL, Lee County"
"FL, Miami-Dade",2026,All,12086,116,50 to 249,"FL, Miami-Dade County"
"FL, Orange",2026,All,12095,5,5 to 49,"FL, Orange County"
"FL, Palm Beach",2026,All,12099,12,5 to 49,"FL, Palm Beach County"
"FL, Pinellas",2026,All,12103,8,5 to 49,"FL, Pinellas County"
"FL, Polk",2026,All,12105,1 to 4,1 to 4,"FL, Polk County"
"FL, St Lucie",2026,All,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"HI, Honolulu",2026,All,15003,1 to 4,1 to 4,"HI, Honolulu, City and County of"
"IL, Cook",2026,All,17031,5,5 to 49,"IL, Cook County"
"IL, Lake",2026,All,17097,1 to 4,1 to 4,"IL, Lake County"
"MD, Montgomery",2026,All,24031,1 to 4,1 to 4,"MD, Montgomery County"
"MD, Baltimore City",2026,All,24510,1 to 4,1 to 4,"MD, Baltimore City"
"MA, Middlesex",2026,All,25017,1 to 4,1 to 4,"MA, Middlesex County"
"MI, Wayne",2026,All,26163,1 to 4,1 to 4,"MI, Wayne County"
"NV, Clark",2026,All,32003,5,5 to 49,"NV, Clark County"
"NJ, Hudson",2026,All,34017,1 to 4,1 to 4,"NJ, Hudson County"
"NJ, Middlesex",2026,All,34023,5,5 to 49,"NJ, Middlesex County"
"NY, Bronx",2026,All,36005,1 to 4,1 to 4,"NY, Bronx County"
"NY, New York",2026,All,36061,1 to 4,1 to 4,"NY, New York County"
"NY, Queens",2026,All,36081,5,5 to 49,"NY, Queens County"
"NY, Westchester",2026,All,36119,1 to 4,1 to 4,"NY, Westchester County"
"NC, Wake",2026,All,37183,1 to 4,1 to 4,"NC, Wake County"
"TX, Dallas",2026,All,48113,1 to 4,1 to 4,"TX, Dallas County"
"TX, Travis",2026,All,48453,1 to 4,1 to 4,"TX, Travis County"
"UT, Salt Lake",2026,All,49035,1 to 4,1 to 4,"UT, Salt Lake County"
"VA, Fairfax",2026,All,51059,1 to 4,1 to 4,"VA, Fairfax County"
"WA, King",2026,All,53033,11,5 to 49,"WA, King County"
"AS, Eastern",2026,All,60010,153,50 to 249,"AS, Eastern District"
"AS, Western",2026,All,60050,283,250+,"AS, Western District"
"PR, Adjuntas",2026,All,72001,21,5 to 49,"PR, Adjuntas Municipality"
"PR, Aguada",2026,All,72003,6,5 to 49,"PR, Aguada Municipality"
"PR, Aguas Buenas",2026,All,72007,9,5 to 49,"PR, Aguas Buenas Municipality"
"PR, Aibonito",2026,All,72009,1 to 4,1 to 4,"PR, Aibonito Municipality"
"PR, Arecibo",2026,All,72013,5,5 to 49,"PR, Arecibo Municipality"
"PR, Arroyo",2026,All,72015,36,5 to 49,"PR, Arroyo Municipality"
"PR, Barranquitas",2026,All,72019,1 to 4,1 to 4,"PR, Barranquitas Municipality"
"PR, Bayamon",2026,All,72021,75,50 to 249,"PR, Bayamon Municipality"
"PR, Caguas",2026,All,72025,116,50 to 249,"PR, Caguas Municipality"
"PR, Camuy",2026,All,72027,5,5 to 49,"PR, Camuy Municipality"
"PR, Carolina",2026,All,72031,18,5 to 49,"PR, Carolina Municipality"
"PR, Catano",2026,All,72033,14,5 to 49,"PR, Catano Municipality"
"PR, Cayey",2026,All,72035,12,5 to 49,"PR, Cayey Municipality"
"PR, Ciales Municipality",2026,All,72039,6,5 to 49,"PR, Ciales Municipality"
"PR, Cidra",2026,All,72041,12,5 to 49,"PR, Cidra Municipality"
"PR, Coamo",2026,All,72043,5,5 to 49,"PR, Coamo Municipality"
"PR, Dorado",2026,All,72051,8,5 to 49,"PR, Dorado Municipality"
"PR, Guayama",2026,All,72057,80,50 to 249,"PR, Guayama Municipality"
"PR, Guaynabo",2026,All,72061,30,5 to 49,"PR, Guaynabo Municipality"
"PR, Gurabo",2026,All,72063,33,5 to 49,"PR, Gurabo Municipality"
"PR, Hatillo",2026,All,72065,18,5 to 49,"PR, Hatillo Municipality"
"PR, Humacao Municipality",2026,All,72069,39,5 to 49,"PR, Humacao Municipality"
"PR, Juana Diaz",2026,All,72075,10,5 to 49,"PR, Juana Diaz Municipality"
"PR, Juncos",2026,All,72077,25,5 to 49,"PR, Juncos Municipality"
"PR, Lares",2026,All,72081,9,5 to 49,"PR, Lares Municipality"
"PR, Las Piedras",2026,All,72085,24,5 to 49,"PR, Las Piedras Municipality"
"PR, Manati",2026,All,72091,7,5 to 49,"PR, Manati Municipality"
"PR, Mayaguez",2026,All,72097,1 to 4,1 to 4,"PR, Mayaguez Municipality"
"PR, Morovis",2026,All,72101,1 to 4,1 to 4,"PR, Morovis Municipality"
"PR, Nabuabo",2026,All,72103,8,5 to 49,"PR, Naguabo Municipality"
"PR, Naranjito",2026,All,72105,5,5 to 49,"PR, Naranjito Municipality"
"PR, Orocovis",2026,All,72107,1 to 4,1 to 4,"PR, Orocovis Municipality"
"PR, Patillas",2026,All,72109,8,5 to 49,"PR, Patillas Municipality"
"PR, Ponce",2026,All,72113,33,5 to 49,"PR, Ponce Municipality"
"PR, Quebradillas",2026,All,72115,1 to 4,1 to 4,"PR, Quebradillas Municipality"
"PR, Salinas",2026,All,72123,24,5 to 49,"PR, Salinas Municipality"
"PR, San Juan",2026,All,72127,41,5 to 49,"PR, San Juan Municipality"
"PR, San Lorenzo",2026,All,72129,17,5 to 49,"PR, San Lorenzo Municipality"
"PR, Santa Isabel",2026,All,72133,9,5 to 49,"PR, Santa Isabel Municipality"
"PR, Toa Alta",2026,All,72135,16,5 to 49,"PR, Toa Alta Municipality"
"PR, Toa Baja",2026,All,72137,26,5 to 49,"PR, Toa Baja Municipality"
"PR, Trujillo Alto",2026,All,72139,5,5 to 49,"PR, Trujillo Alto Municipality"
"PR, Vega Alta",2026,All,72143,13,5 to 49,"PR, Vega Alta Municipality"
"PR, Vega Baja",2026,All,72145,14,5 to 49,"PR, Vega Baja Municipality"
"PR, Yabucoa",2026,All,72151,6,5 to 49,"PR, Yabucoa Municipality"
"PR, Yauco",2026,All,72153,5,5 to 49,"PR, Yauco Municipality"
